vehicle_name,traffic_control_device,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month
Tata Nexon,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",11,6,8
Kia Sonet,TRAFFIC SIGNAL,OTHER,DAYLIGHT,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,14,3,6
Skoda Slavia,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,UNKNOWN,"RUT, HOLES",15,2,8
Mahindra Scorpio,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",RAMP,DRY,WORN SURFACE,19,6,1
Skoda Slavia,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,1,11
Honda City,NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,19,2,12
Maruti Suzuki Baleno,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,18,3,12
Toyota Fortuner,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,17,3,9
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,DRY,"RUT, HOLES",4,2,2
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),WET,"RUT, HOLES",0,7,9
Renault Kiger,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,16,1,1
Tata Nexon,STOP SIGN/FLASHER,BLOWING SNOW,UNKNOWN,NOT DIVIDED,ICE,"RUT, HOLES",20,6,1
Hyundai Creta,NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",16,4,6
Maruti Suzuki Baleno,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",8,6,7
Maruti Suzuki Baleno,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT REPORTED,DRY,NO DEFECTS,5,6,10
Tata Nexon,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,T-INTERSECTION,WET,"RUT, HOLES",17,1,9
Hyundai Creta,NO CONTROLS,RAIN,DAYLIGHT,UNKNOWN INTERSECTION TYPE,DRY,NO DEFECTS,17,5,7
Hyundai i20,TRAFFIC SIGNAL,SLEET/HAIL,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,7,3,5
Kia Seltos,NO CONTROLS,CLEAR,DARKNESS,Y-INTERSECTION,DRY,"RUT, HOLES",1,6,12
Nissan Magnite,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,12,7,7
Mahindra Scorpio,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,DEBRIS ON ROADWAY,16,2,7
Maruti Suzuki Baleno,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,DEBRIS ON ROADWAY,17,4,3
Tata Harrier,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,ONE-WAY,DRY,"RUT, HOLES",19,5,10
Honda Amaze,OTHER,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,16,5,9
Tata Nexon,YIELD,RAIN,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),WET,"RUT, HOLES",6,2,4
Tata Altroz,OTHER REG. SIGN,FOG/SMOKE/HAZE,DAYLIGHT,OTHER,DRY,"RUT, HOLES",16,3,1
Kia Sonet,OTHER,RAIN,DARKNESS,T-INTERSECTION,WET,NO DEFECTS,23,7,9
Kia Seltos,OTHER REG. SIGN,RAIN,DARKNESS,UNKNOWN,WET,NO DEFECTS,21,1,8
Honda Amaze,OTHER,CLEAR,DARKNESS,NOT DIVIDED,UNKNOWN,NO DEFECTS,20,3,5
Tata Punch,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,7,2,12
Volkswagen Virtus,STOP SIGN/FLASHER,RAIN,DUSK,FOUR WAY,WET,"RUT, HOLES",18,3,2
Hyundai Verna,NO CONTROLS,CLOUDY/OVERCAST,DUSK,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,19,6,7
Renault Kiger,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,16,5,12
Tata Nexon,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,9,5,7
Mahindra XUV700,PEDESTRIAN CROSSING SIGN,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,"SAND, MUD, DIRT",NO DEFECTS,22,6,8
Kia Sonet,OTHER REG. SIGN,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,8,6,6
Maruti Suzuki Wagon R,NO CONTROLS,CLEAR,DUSK,FOUR WAY,WET,NO DEFECTS,6,2,5
Skoda Slavia,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,6,1,12
Mahindra Scorpio,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,16,3,6
Renault Kiger,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",13,6,11
Nissan Magnite,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",5,5,4
Volkswagen Virtus,PEDESTRIAN CROSSING SIGN,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,18,2,4
Hyundai Venue,OTHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",ALLEY,DRY,WORN SURFACE,18,2,1
Renault Kiger,NO CONTROLS,UNKNOWN,DUSK,ALLEY,DRY,NO DEFECTS,18,7,8
Mahindra Scorpio,NO CONTROLS,OTHER,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",WORN SURFACE,8,3,6
Tata Altroz,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,17,2,11
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",0,6,7
Hyundai Verna,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,10,7,12
Mahindra XUV700,RAILROAD CROSSING GATE,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,12,4,3
Mahindra Thar,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,FOUR WAY,"SAND, MUD, DIRT","RUT, HOLES",19,6,11
Tata Altroz,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,CENTER TURN LANE,"SAND, MUD, DIRT",NO DEFECTS,12,4,10
Toyota Fortuner,FLASHING CONTROL SIGNAL,OTHER,DARKNESS,NOT DIVIDED,OTHER,NO DEFECTS,0,6,10
Toyota Fortuner,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,UNKNOWN,FOUR WAY,UNKNOWN,NO DEFECTS,7,5,11
Toyota Innova,TRAFFIC SIGNAL,RAIN,DAYLIGHT,UNKNOWN INTERSECTION TYPE,DRY,WORN SURFACE,14,7,9
Kia Seltos,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,22,3,8
Hyundai Venue,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,"RUT, HOLES",22,6,2
Tata Punch,NO CONTROLS,SNOW,DAYLIGHT,T-INTERSECTION,SNOW OR SLUSH,WORN SURFACE,7,6,1
Hyundai Creta,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,UNKNOWN INTERSECTION TYPE,UNKNOWN,NO DEFECTS,6,6,12
Kia Seltos,STOP SIGN/FLASHER,RAIN,DAYLIGHT,OTHER,WET,WORN SURFACE,7,5,8
Hyundai i20,OTHER,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,SHOULDER DEFECT,18,4,10
Maruti Suzuki Brezza,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,FOUR WAY,OTHER,UNKNOWN,0,1,7
Volkswagen Virtus,NO CONTROLS,CLEAR,DAWN,NOT DIVIDED,DRY,"RUT, HOLES",6,6,2
Mahindra Scorpio,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,WET,NO DEFECTS,15,7,2
Nissan Magnite,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,9,4,9
Kia Sonet,OTHER REG. SIGN,CLEAR,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,5,2,7
Maruti Suzuki Wagon R,OTHER,UNKNOWN,DUSK,T-INTERSECTION,"SAND, MUD, DIRT",NO DEFECTS,11,5,3
Maruti Suzuki Baleno,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",NO DEFECTS,9,1,7
Mahindra XUV700,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,14,1,1
Mahindra Scorpio,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,23,3,8
Volkswagen Virtus,YIELD,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",6,6,5
Toyota Fortuner,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,12,6,10
Honda City,NO CONTROLS,OTHER,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",21,2,6
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,"RUT, HOLES",20,7,7
Hyundai Creta,NO CONTROLS,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,12,5,1
Kia Seltos,STOP SIGN/FLASHER,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,17,7,1
Nissan Magnite,OTHER,UNKNOWN,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,5,2,6
Mahindra XUV700,NO CONTROLS,RAIN,DAYLIGHT,ALLEY,DRY,NO DEFECTS,17,4,7
Hyundai i20,STOP SIGN/FLASHER,UNKNOWN,DARKNESS,T-INTERSECTION,DRY,"RUT, HOLES",22,4,8
Maruti Suzuki Wagon R,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,OTHER,15,4,5
Honda Amaze,OTHER WARNING SIGN,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",14,7,9
Maruti Suzuki Wagon R,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,SHOULDER DEFECT,7,7,11
Hyundai Venue,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,UNKNOWN,16,6,10
Skoda Slavia,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,DRY,"RUT, HOLES",16,3,1
Toyota Fortuner,OTHER,RAIN,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,17,3,7
Maruti Suzuki Swift,NO CONTROLS,CLOUDY/OVERCAST,UNKNOWN,NOT DIVIDED,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,0,2,2
Hyundai Verna,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,UNKNOWN INTERSECTION TYPE,"SAND, MUD, DIRT",WORN SURFACE,15,6,4
Maruti Suzuki Baleno,NO CONTROLS,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),WET,OTHER,16,4,12
Tata Punch,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DUSK,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",8,7,2
Mahindra XUV700,NO CONTROLS,RAIN,UNKNOWN,ONE-WAY,DRY,WORN SURFACE,8,3,7
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,DAYLIGHT,NOT REPORTED,OTHER,DEBRIS ON ROADWAY,9,2,8
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,OTHER,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,17,7,9
Toyota Innova,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",16,6,8
Toyota Innova,STOP SIGN/FLASHER,OTHER,"DARKNESS, LIGHTED ROAD",OTHER,DRY,"RUT, HOLES",19,5,1
Volkswagen Virtus,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,WORN SURFACE,7,7,6
Hyundai Venue,TRAFFIC SIGNAL,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",Y-INTERSECTION,DRY,WORN SURFACE,21,7,7
Skoda Slavia,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,18,7,1
Hyundai i20,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",12,7,6
Tata Punch,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",5,3,1
Toyota Fortuner,LANE USE MARKING,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,7,4,1
Toyota Innova,NO CONTROLS,CLEAR,DARKNESS,ONE-WAY,WET,NO DEFECTS,22,6,6
Tata Nexon,NO CONTROLS,FOG/SMOKE/HAZE,DUSK,NOT DIVIDED,WET,NO DEFECTS,7,5,2
Volkswagen Virtus,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,WET,DEBRIS ON ROADWAY,10,5,8
Hyundai Creta,LANE USE MARKING,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,8,7,9
Maruti Suzuki Swift,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",19,3,10
Volkswagen Virtus,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,DRY,SHOULDER DEFECT,9,5,3
Mahindra Thar,NO CONTROLS,OTHER,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,10,5,3
Tata Harrier,TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,12,3,2
Volkswagen Virtus,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,8,3,8
Mahindra XUV700,UNKNOWN,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,8,6,9
Hyundai Verna,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,14,7,1
Toyota Innova,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,19,5,12
Tata Harrier,NO CONTROLS,FOG/SMOKE/HAZE,DAWN,ONE-WAY,OTHER,WORN SURFACE,18,4,1
Maruti Suzuki Swift,STOP SIGN/FLASHER,UNKNOWN,"DARKNESS, LIGHTED ROAD",ONE-WAY,WET,SHOULDER DEFECT,19,6,8
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,5,7,9
Mahindra Scorpio,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DUSK,NOT DIVIDED,DRY,"RUT, HOLES",18,1,11
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,RAIN,DUSK,FOUR WAY,"SAND, MUD, DIRT",WORN SURFACE,6,5,9
Maruti Suzuki Brezza,STOP SIGN/FLASHER,CLEAR,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,6,5,10
Honda City,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,WET,NO DEFECTS,22,5,6
Hyundai Venue,OTHER,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,19,1,10
Tata Nexon,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,ONE-WAY,DRY,"RUT, HOLES",15,7,1
Tata Punch,NO CONTROLS,FOG/SMOKE/HAZE,DUSK,NOT DIVIDED,DRY,NO DEFECTS,19,1,11
Mahindra Thar,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,23,3,8
Mahindra Scorpio,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,16,3,10
Skoda Slavia,NO CONTROLS,SLEET/HAIL,DARKNESS,OTHER,WET,NO DEFECTS,16,6,7
Hyundai Venue,NO CONTROLS,RAIN,DARKNESS,FOUR WAY,WET,NO DEFECTS,18,6,8
Toyota Fortuner,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,UNKNOWN,WORN SURFACE,8,1,7
Honda Amaze,NO CONTROLS,RAIN,DAYLIGHT,OTHER,"SAND, MUD, DIRT","RUT, HOLES",7,2,9
Hyundai Venue,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,WORN SURFACE,18,3,1
Maruti Suzuki Wagon R,UNKNOWN,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,11,6,1
Honda Amaze,TRAFFIC SIGNAL,RAIN,DAYLIGHT,PARKING LOT,WET,NO DEFECTS,6,7,4
Toyota Fortuner,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",10,3,3
Toyota Fortuner,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,UNKNOWN,11,5,11
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DARKNESS,T-INTERSECTION,DRY,NO DEFECTS,22,3,4
Toyota Innova,NO CONTROLS,FOG/SMOKE/HAZE,DUSK,ONE-WAY,OTHER,WORN SURFACE,16,5,12
Maruti Suzuki Brezza,UNKNOWN,RAIN,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,15,5,6
Kia Sonet,TRAFFIC SIGNAL,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,22,4,3
Tata Nexon,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,ONE-WAY,DRY,NO DEFECTS,21,3,10
Mahindra Scorpio,STOP SIGN/FLASHER,RAIN,DAYLIGHT,UNKNOWN INTERSECTION TYPE,WET,DEBRIS ON ROADWAY,14,7,8
Maruti Suzuki Swift,NO CONTROLS,OTHER,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,21,6,7
Tata Punch,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",NO DEFECTS,12,7,8
Volkswagen Virtus,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,8,4,9
Toyota Innova,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,1,4
Maruti Suzuki Wagon R,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,15,5,12
Tata Nexon,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,9,6,12
Honda City,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,OTHER,17,7,8
Skoda Slavia,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,17,1,3
Maruti Suzuki Brezza,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,UNKNOWN,0,7,9
Maruti Suzuki Swift,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAWN,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,5,4,1
Mahindra XUV700,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,15,3,1
Tata Punch,TRAFFIC SIGNAL,CLEAR,DAWN,FOUR WAY,OTHER,DEBRIS ON ROADWAY,8,2,5
Maruti Suzuki Brezza,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",16,6,7
Mahindra Thar,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,15,3,11
Honda Amaze,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",16,5,9
Honda Amaze,STOP SIGN/FLASHER,OTHER,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,10,4,9
Tata Nexon,UNKNOWN,CLEAR,DAYLIGHT,FOUR WAY,WET,"RUT, HOLES",16,3,7
Hyundai Venue,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",19,6,6
Tata Altroz,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,PARKING LOT,WET,NO DEFECTS,23,3,6
Hyundai Venue,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,FOUR WAY,"SAND, MUD, DIRT",DEBRIS ON ROADWAY,19,6,12
Hyundai Verna,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",9,4,1
Toyota Innova,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,OTHER,UNKNOWN,NO DEFECTS,6,1,11
Hyundai i20,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",Y-INTERSECTION,DRY,NO DEFECTS,17,6,8
Nissan Magnite,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),WET,SHOULDER DEFECT,21,7,7
Mahindra XUV700,NO CONTROLS,RAIN,DAYLIGHT,ALLEY,DRY,NO DEFECTS,8,1,9
Tata Nexon,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",9,5,7
Hyundai i20,NO CONTROLS,FREEZING RAIN/DRIZZLE,DUSK,UNKNOWN INTERSECTION TYPE,UNKNOWN,DEBRIS ON ROADWAY,7,1,11
Hyundai i20,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,"RUT, HOLES",18,6,11
Tata Punch,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,DRY,WORN SURFACE,12,7,7
Mahindra XUV700,TRAFFIC SIGNAL,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,3,4,5
Mahindra XUV700,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",19,3,8
Maruti Suzuki Swift,NO CONTROLS,RAIN,DAWN,UNKNOWN INTERSECTION TYPE,WET,NO DEFECTS,15,7,11
Tata Punch,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,OTHER,DEBRIS ON ROADWAY,11,5,4
Maruti Suzuki Wagon R,NO CONTROLS,RAIN,DAYLIGHT,OTHER,WET,NO DEFECTS,11,4,8
Hyundai i20,LANE USE MARKING,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,9,2,8
Skoda Slavia,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,13,5,9
Tata Punch,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,11,5,2
Tata Altroz,NO CONTROLS,OTHER,UNKNOWN,FOUR WAY,DRY,NO DEFECTS,15,3,9
Tata Nexon,STOP SIGN/FLASHER,RAIN,DAWN,ONE-WAY,WET,SHOULDER DEFECT,18,2,11
Hyundai Verna,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,17,4,3
Honda Amaze,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",10,4,4
Toyota Innova,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,15,1,12
Kia Seltos,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,19,3,3
Tata Punch,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,OTHER,DRY,OTHER,3,2,11
Nissan Magnite,STOP SIGN/FLASHER,CLEAR,DARKNESS,FOUR WAY,DRY,NO DEFECTS,4,7,7
Honda Amaze,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",15,1,4
Tata Punch,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,14,7,11
Mahindra Scorpio,NO CONTROLS,OTHER,DUSK,NOT DIVIDED,DRY,UNKNOWN,8,5,7
Renault Kiger,STOP SIGN/FLASHER,RAIN,DAYLIGHT,FOUR WAY,WET,NO DEFECTS,18,5,7
Mahindra Scorpio,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO DEFECTS,16,7,6
Mahindra XUV700,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,WORN SURFACE,21,3,8
Kia Sonet,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,7,6,3
Maruti Suzuki Swift,UNKNOWN,RAIN,DARKNESS,FOUR WAY,WET,"RUT, HOLES",18,6,6
Toyota Innova,LANE USE MARKING,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,NO DEFECTS,4,7,12
Honda Amaze,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",15,1,5
Toyota Innova,OTHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,15,4,8
Volkswagen Virtus,YIELD,RAIN,UNKNOWN,NOT DIVIDED,OTHER,"RUT, HOLES",12,7,6
Volkswagen Virtus,NO CONTROLS,CLEAR,UNKNOWN,NOT DIVIDED,DRY,SHOULDER DEFECT,19,3,10
